# ASCENT Golden Model Outputs v5
# L1_REQUANT_DIV=2101.08  L2_REQUANT_DIV=155.10
# Format: index  true_label  predicted  [score_0..score_9]  status
  32  3  3  [-32779 -15217 -12450 21110 -27014 6684 -22445 -15697 -5716 -6978]  OK
  33  4  0  [9432 -21850 -8935 -18335 7991 -4202 -438 -8693 -15345 -4831]  WRONG
  34  7  7  [-9686 -968 1735 -2568 -10379 -19362 -17601 16892 -9253 -9014]  OK
  35  2  2  [-15150 8323 16945 -2403 -22887 -1140 -16883 -4061 -8977 -15804]  OK
  36  7  7  [-10544 -3442 1603 -3208 -16818 -14677 -13504 15098 -6595 -8105]  OK
  37  1  1  [-19112 8406 -9628 -12654 -851 -7922 -7626 -4776 973 -2290]  OK
  38  2  2  [-9761 3452 15223 -1833 -23959 -5280 -4940 -6913 -8838 -22568]  OK
  39  1  1  [-15671 10279 -8494 -12719 -774 -11167 -8342 -4434 3207 -3141]  OK
  40  1  1  [-17075 8178 -3416 -8403 -4265 -5465 -6252 -1585 -3315 -4058]  OK
  41  7  7  [-19409 -1051 -3350 -873 -19192 -6088 -18502 15777 -14842 -6983]  OK
  42  4  4  [-14519 704 -12889 -12965 15919 -15938 -16073 -2422 -12933 3187]  OK
  43  2  2  [-9927 1843 10233 -7213 -5085 -1237 -741 -7167 -10074 -30765]  OK
  44  3  3  [-18829 -8025 -4789 12567 -8809 4848 -10472 -9609 -7820 -13971]  OK
  45  5  5  [-14548 -14070 -13990 -4927 -16385 16758 -2868 -15705 -1444 -3246]  OK
  46  1  1  [-27208 7060 -7590 -9302 -7248 -3336 -12986 -9951 -2964 -3492]  OK
  47  2  2  [-9673 -1935 20319 -5550 -9704 -6666 -3049 -8673 -10361 -21405]  OK
  48  4  4  [-17364 -5984 -21635 -11468 14938 -3804 -10804 -8923 -8924 3664]  OK
  49  4  4  [-12428 -2920 -17934 -13447 17836 -8973 -9254 -5350 -11672 4377]  OK
  50  6  6  [-4258 -10949 -7749 -10039 -9033 2541 15150 -16856 -3034 -12240]  OK
  51  3  3  [-26212 -4709 -2108 16286 -17989 -5578 -25110 -3042 -237 -10843]  OK
  52  5  5  [-19638 -14662 -12323 -366 -16156 19966 -8812 -13201 -15213 -3565]  OK
  53  5  5  [-20038 -9805 -7141 3102 -15658 14564 -10474 -9896 -5214 -5378]  OK
  54  6  6  [-522 -12125 -11567 -22959 -7093 5868 24976 -19308 -7250 -18403]  OK
  55  0  0  [14704 -9043 -4147 -11055 -10024 -3486 1829 -7269 -2724 -8370]  OK
  56  4  4  [-17551 -8366 -20644 -14114 17018 -2345 -10421 -2077 -13415 -1047]  OK
  57  1  1  [-10265 12339 -3244 -12328 -1846 -10949 -8773 2094 -3293 -11772]  OK
  58  9  9  [-12730 -13721 -7905 -4271 -5310 -4793 -17346 -4229 -15879 13380]  OK
  59  5  5  [-2783 -8219 -10810 -8010 -16793 11917 -11384 2585 1150 -2759]  OK
  60  7  7  [-13545 -12324 -4589 -887 -38811 -4230 -34027 21453 -14919 -987]  OK
  61  8  8  [-4128 -8585 9682 -11656 -16737 -14179 -14974 -6182 13854 -4383]  OK
  62  9  9  [-11029 -12860 -7904 -9359 -13202 2606 -5594 -801 -2542 7667]  OK
  63  3  3  [-17475 -12120 71 16095 -27690 -4468 -25840 -5986 1332 -1612]  OK
  64  7  7  [-37939 -4053 -4916 9725 -2631 -14791 -33382 19339 -15201 -8440]  OK
  65  4  4  [-12368 -5784 -11411 -9339 7303 8 -5995 -13098 -4445 1234]  OK
  66  6  6  [-2817 -8509 -9717 -7972 -886 1465 14950 -5900 -8689 -14966]  OK
  67  4  4  [-13800 -2327 -13760 -11417 17201 -6903 -7890 -6243 -12989 -895]  OK
  68  3  3  [-26104 -14097 -11699 17269 -24094 3430 -23930 -8711 -6441 -4150]  OK
  69  0  0  [21638 -14716 -11210 -12986 -12261 -6073 237 1289 -23169 -6013]  OK
  70  7  7  [-15321 -6987 -2903 -2553 -25818 -7526 -23434 18343 -14596 -5877]  OK
  71  0  0  [32665 -22447 -5745 -12167 -21860 -15339 4308 -7046 -24806 -8547]  OK
  72  2  2  [-7998 -2806 16331 3726 -23025 -3901 -14485 -6282 -4127 -16085]  OK
  73  9  9  [-11026 -10694 -6091 -7508 -2180 -19801 -15737 -4619 -4187 12505]  OK
  74  1  1  [-19902 8045 -11590 -16333 -835 -7349 -7732 -6511 1949 -1105]  OK
  75  7  7  [-17616 -3739 -3001 1134 -18218 -10292 -29859 18532 -8925 -3428]  OK
  76  3  3  [-27585 -13582 -12409 21525 -19969 5718 -20344 -15839 -7242 -6038]  OK
  77  2  2  [-4161 557 13760 -11368 -12306 -5874 -4415 -4796 -9399 -10422]  OK
  78  9  9  [-15176 -3913 -12830 -14566 4140 -15228 -16705 -6546 -5769 10741]  OK
  79  7  7  [-11851 2111 -709 -9109 -3064 -15139 -16060 11264 -2105 -6549]  OK
  80  7  7  [-1163 -7515 -15163 -6562 -13787 -5224 -16196 11461 -14191 7817]  OK
  81  6  6  [-6210 -9102 -9374 -15395 -11566 -1351 13349 -8691 -6065 -3595]  OK
  82  2  2  [-16334 -968 28886 -10299 -17124 -24324 -21905 173 -12466 -16446]  OK
  83  7  7  [-6563 -5354 -10879 -4803 -18533 -3920 -18256 14451 -15824 2752]  OK
  84  8  8  [-12082 -4144 -6138 -3388 -6145 -4469 -5495 -9642 12355 -5886]  OK
  85  4  4  [-15855 -2812 -18346 -6080 13092 -3748 -9712 -14029 3498 -6598]  OK
  86  7  7  [-10452 -3261 -2464 -5099 -14932 -12394 -20236 15978 -9032 -6007]  OK
  87  3  3  [-24502 -6184 -3492 15782 -13489 -2176 -17987 -1137 -16895 -9739]  OK
  88  6  6  [790 -13589 -10672 -22886 -4365 -5973 25271 -11108 -10855 -16332]  OK
  89  1  1  [-6605 8898 -4999 -13187 -309 -9526 -4342 -3792 -1335 -12766]  OK
  90  3  3  [-24015 -11403 -9825 20771 -25055 821 -22569 -14681 878 -2515]  OK
  91  6  6  [-11689 -10479 -11430 -10460 -9582 -379 21415 -16852 -5357 -13694]  OK
  92  9  9  [-15205 -9433 -8684 -8541 3783 -8782 -9949 -6476 -3893 8718]  OK
  93  3  3  [-13567 -13449 -10258 10661 -21935 8281 -19468 -12258 -9932 3248]  OK
  94  1  1  [-16290 11815 -7346 -17448 1856 -11789 -7366 -4951 18 -3757]  OK
  95  4  4  [-7520 -5038 -12926 -8836 10968 -9198 -4277 -4107 -14230 3391]  OK
  96  1  9  [-17849 2608 -9187 -11762 -3150 -2360 -9115 -7994 -5122 2775]  WRONG
  97  7  7  [-23382 3463 1609 -1754 -7880 -22426 -31071 22204 -12945 -14483]  OK
  98  6  6  [-5949 -10820 -9884 -16341 -8374 2911 14285 -15571 -12274 -6895]  OK
  99  9  9  [-5253 -17117 -9702 -1560 -13559 -13854 -15831 -165 -7754 16006]  OK
